BAYESIAN RESULTS
Input 1 (Ego Speed),Input 2 (Target Speed),Output 1 (TTC),Output 2(Jerk),HyperVolum,Generational Distance,Is_Pareto
14.2,2.3,0.9932109713554382,-1.9870762824987922,7.51087374500304,5.669938496711188,
19.5,7.0,1.075873851776123,-5.490374016755069,7.51087374500304,5.669938496711188,
14.9,3.3,1.0564584732055664,-0.040316581726024946,7.51087374500304,5.669938496711188,
24.1,1.4,1.4133590459823608,-2.647740268708743,7.51087374500304,5.669938496711188,
22.4,9.7,0.7949795126914978,-7.821039724312621,7.51087374500304,5.669938496711188,
17.8,1.7,1.1562260389328003,-4.085012507440924,7.51087374500304,5.669938496711188,
15.9,0.6,1.165560245513916,-1.8392868042002382,7.51087374500304,5.669938496711188,
18.0,5.0,1.169751524925232,-1.8734417200065605,7.51087374500304,5.669938496711188,
18.7,5.8,1.1984901428222656,-1.4859538078289944,7.51087374500304,5.669938496711188,
19.6,10.8,0.7787976861000061,-10.692455583802786,7.51087374500304,5.669938496711188,
17.0,3.9,1.1668105125427246,-0.9709769964206273,7.51087374500304,5.669938496711188,
22.8,7.3,1.2243824005126953,-6.981330656996778,7.51087374500304,5.669938496711188,
23.6,3.6,1.3670649528503418,-10.880741149921686,7.51087374500304,5.669938496711188,
20.4,8.5,1.0867160558700562,-7.2200055718333696,7.51087374500304,5.669938496711188,
22.0,0.4,1.391234278678894,-3.971582221987064,7.51087374500304,5.669938496711188,
21.0,6.3,1.1457233428955078,-5.106174659731834,7.51087374500304,5.669938496711188,
15.6,4.9,1.0938279628753662,-3.015591144558082,7.51087374500304,5.669938496711188,
16.7,7.9,0.8803874254226685,-3.3592934608418417,7.51087374500304,5.669938496711188,
21.4,10.2,0.7775076031684875,-9.404597496995185,7.51087374500304,5.669938496711188,
24.6,9.0,1.020919919013977,-9.189822244632934,7.51087374500304,5.669938496711188,
20.3,11.0,0.9456403255462646,-11.381239414241612,7.51087374500304,5.669938496711188,
24.3,4.7,1.3891228437423706,-11.430867135531068,7.51087374500304,5.669938496711188,
23.5,4.5,1.3841919898986816,-8.22469788789104,7.51087374500304,5.669938496711188,
24.9,4.2,1.4002271890640259,-11.075776462246402,7.51087374500304,5.669938496711188,
25.0,5.4,1.3795493841171265,-11.913155746466543,7.51087374500304,5.669938496711188,
24.8,5.0,1.3847793340682983,-12.218988871581153,7.51087374500304,5.669938496711188,
25.0,6.9,1.288269281387329,-8.462921615683072,7.51087374500304,5.669938496711188,
25.0,5.0,1.4228976964950562,-11.581778788572988,7.51087374500304,5.669938496711188,
24.6,5.3,1.4127812385559082,-12.06066546440791,7.51087374500304,5.669938496711188,
25.0,11.0,0.7133678197860718,-9.515052592757963,7.51087374500304,5.669938496711188,
24.7,5.0,1.3915798664093018,-12.330935230857987,7.51087374500304,5.669938496711188,
18.0,11.0,0.7218173146247864,-10.6975213647138,7.51087374500304,5.669938496711188,Pareto
16.2,11.0,0.7849538922309875,-10.275844073304969,7.51087374500304,5.669938496711188,
14.0,11.0,0.7950620651245117,-10.34033882613013,7.51087374500304,5.669938496711188,
14.0,9.6,0.8425865173339844,-10.859065830659969,7.51087374500304,5.669938496711188,
14.9,10.3,0.835469663143158,-10.361554183037862,7.51087374500304,5.669938496711188,
23.2,11.0,0.7877528071403503,-10.621857810038765,7.51087374500304,5.669938496711188,
21.6,11.0,0.7835710644721985,-10.004886770204035,7.51087374500304,5.669938496711188,
14.0,8.3,1.64365816116333,-4.1364235878087126,7.51087374500304,5.669938496711188,
14.0,10.2,1.1015081405639648,-9.963515102815737,7.51087374500304,5.669938496711188,
15.1,11.0,0.75670325756073,-11.680312156621472,7.51087374500304,5.669938496711188,Pareto
14.8,11.0,0.8203703761100769,-11.827304315510542,7.51087374500304,5.669938496711188,
18.8,11.0,0.821956217288971,-9.883895802458364,7.51087374500304,5.669938496711188,
17.8,10.1,0.7921127676963806,-7.803993201237878,7.51087374500304,5.669938496711188,
24.0,10.4,0.8345816731452942,-9.231311738446978,7.51087374500304,5.669938496711188,
20.3,10.4,0.756224513053894,-11.357526540701995,7.51087374500304,5.669938496711188,
14.9,11.0,0.7709786295890808,-10.61381572481821,7.51087374500304,5.669938496711188,
14.6,11.0,0.7781201004981995,-9.779218637937085,7.51087374500304,5.669938496711188,
15.4,10.9,0.7024348378181458,-8.685852170010765,7.51087374500304,5.669938496711188,
20.7,10.7,0.8420369625091553,-10.683428466325992,7.51087374500304,5.669938496711188,
20.1,10.7,0.8469247817993164,-9.021796095337516,7.51087374500304,5.669938496711188,
20.5,10.1,0.7923198938369751,-9.09807131586209,7.51087374500304,5.669938496711188,
24.3,3.9,1.3733481168746948,-11.651283390808304,7.51087374500304,5.669938496711188,
24.6,4.5,1.3728641271591187,-11.73592585324066,7.51087374500304,5.669938496711188,
17.0,11.0,0.8360837697982788,-9.715637528849943,7.51087374500304,5.669938496711188,
24.3,3.4,1.395524024963379,-4.129426932337188,7.51087374500304,5.669938496711188,
24.3,4.2,1.3575048446655273,-11.820599138724798,7.51087374500304,5.669938496711188,
14.5,9.7,0.7959108352661133,-9.156007242196829,7.51087374500304,5.669938496711188,
19.3,10.3,0.7631121873855591,-10.466593313194311,7.51087374500304,5.669938496711188,
24.7,5.8,1.3836158514022827,-10.1334022283473,7.51087374500304,5.669938496711188,
22.5,11.0,0.7593838572502136,-12.26675333978318,7.51087374500304,5.669938496711188,Pareto
22.6,10.7,0.7488316893577576,-9.456652164473063,7.51087374500304,5.669938496711188,
22.2,10.9,0.7111403346061707,-9.619404226511456,7.51087374500304,5.669938496711188,
22.9,3.5,0.898863673210144,-9.567837810507188,7.51087374500304,5.669938496711188,
25.0,10.0,0.7340519428253174,-9.567760184419193,7.51087374500304,5.669938496711188,
22.8,11.0,0.8218586444854736,-10.825991833235216,7.51087374500304,5.669938496711188,
21.0,11.0,0.7106536626815796,-10.516556692080618,7.51087374500304,5.669938496711188,Pareto
19.2,9.5,0.8492586016654968,-9.486575937246261,7.51087374500304,5.669938496711188,
23.9,11.0,0.757713258266449,-10.86996617319733,7.51087374500304,5.669938496711188,
21.4,3.3,1.386050820350647,-1.1785491943365907,7.51087374500304,5.669938496711188,
16.5,10.2,0.8664576411247253,-9.220450878099284,7.51087374500304,5.669938496711188,
19.5,0.0,1.3660449981689453,-3.2198351383227073,7.51087374500304,5.669938496711188,
19.8,10.0,0.7754001021385193,-10.787382674165709,7.51087374500304,5.669938496711188,
23.5,8.9,1.1611679792404175,-11.39590554235973,7.51087374500304,5.669938496711188,
23.8,8.3,1.2672336101531982,-10.513734102236294,7.51087374500304,5.669938496711188,
23.0,8.6,1.1695595979690552,-11.237093734727475,7.51087374500304,5.669938496711188,
23.5,9.5,0.8310057520866394,-9.102757686366964,7.51087374500304,5.669938496711188,
22.2,8.6,1.1129072904586792,-10.805630087839269,7.51087374500304,5.669938496711188,
25.0,8.1,1.023447871208191,-8.962366709112846,7.51087374500304,5.669938496711188,
21.6,9.0,1.0915290117263794,-6.485521405927361,7.51087374500304,5.669938496711188,
22.8,9.0,0.8447120189666748,-8.025107961883274,7.51087374500304,5.669938496711188,
22.6,8.2,0.9824151992797852,-10.583753538118778,7.51087374500304,5.669938496711188,
23.3,8.3,1.0826771259307861,-8.06214621662108,7.51087374500304,5.669938496711188,
24.0,8.8,1.196536898612976,-6.904553893200065,7.51087374500304,5.669938496711188,
22.0,8.0,1.2451187372207642,-9.11860483585673,7.51087374500304,5.669938496711188,
23.9,5.5,1.3374900817871094,-9.200719022755951,7.51087374500304,5.669938496711188,
24.2,7.7,1.218334674835205,-11.862022948256282,7.51087374500304,5.669938496711188,
24.0,7.2,0.9806615710258484,-9.789640784264815,7.51087374500304,5.669938496711188,
24.4,11.0,0.7759422063827515,-11.69523367879365,7.51087374500304,5.669938496711188,
14.0,6.2,0.7950834631919861,-2.1244364261601234,7.51087374500304,5.669938496711188,
24.6,10.6,0.8507735729217529,-10.048103630566173,7.51087374500304,5.669938496711188,
14.1,0.0,1.146705985069275,-3.600390911104284,7.51087374500304,5.669938496711188,
15.6,9.6,0.842054009437561,-8.738758504411082,7.51087374500304,5.669938496711188,
18.5,8.7,0.9539844393730164,-0.392392754554269,7.51087374500304,5.669938496711188,
24.2,8.0,1.2525378465652466,-11.716941547379475,7.51087374500304,5.669938496711188,
24.8,0.0,1.5599638223648071,-1.8341817379007967,7.51087374500304,5.669938496711188,
23.9,4.0,1.361957311630249,-11.53847916125175,7.51087374500304,5.669938496711188,
19.4,2.7,1.331949234008789,-2.806141304971343,7.51087374500304,5.669938496711188,
18.6,10.4,0.749630868434906,-11.336514055694689,7.51087374500304,5.669938496711188,Pareto
18.4,10.7,0.7886178493499756,-9.306456136725183,7.51087374500304,5.669938496711188,
18.8,10.1,0.7691709399223328,-10.466715395443197,7.51087374500304,5.669938496711188,
19.0,10.6,0.8537300229072571,-9.051052045831014,7.51087374500304,5.669938496711188,
22.4,5.5,1.3031266927719116,-4.099161481859572,7.51087374500304,5.669938496711188,
24.6,7.6,1.2984745502471924,-12.135055363166083,7.51087374500304,5.669938496711188,
24.5,7.8,1.247402310371399,-9.81146285533953,7.51087374500304,5.669938496711188,
24.5,7.3,1.3371903896331787,-13.00624412297041,7.51087374500304,5.669938496711188,
24.6,7.4,1.3486988544464111,-12.404345655429823,7.51087374500304,5.669938496711188,
24.4,7.4,1.3394300937652588,-10.328739166261856,7.51087374500304,5.669938496711188,
24.6,7.2,1.3435230255126953,-12.299731588353723,7.51087374500304,5.669938496711188,
23.9,7.8,1.2492616176605225,-13.345701217635057,7.51087374500304,5.669938496711188,Pareto
24.0,7.8,1.245834469795227,-12.012106633171655,7.51087374500304,5.669938496711188,
23.7,7.8,1.2580816745758057,-9.063335885100267,7.51087374500304,5.669938496711188,
17.6,11.0,0.7934678792953491,-11.776214671078716,7.51087374500304,5.669938496711188,
24.2,6.6,1.3135406970977783,-8.003409385674777,7.51087374500304,5.669938496711188,
24.9,7.5,1.3338781595230103,-8.910986870528985,7.51087374500304,5.669938496711188,
17.5,10.7,0.7592131495475769,-9.634414195975474,7.51087374500304,5.669938496711188,
19.9,9.5,0.86053067445755,-9.603431862570577,7.51087374500304,5.669938496711188,
