SWEEPING RESULTS
Input 1 (Ego Speed),Input 2 (Target Speed),Output 1 (TTC),Output 2(Jerk),HyperVolum,Generational Distance,Is_Pareto
14.0,0.0,1.0821267366409302,-0.9020199775700783,6.472004091662539,5.79363499360632,
14.0,1.0,1.0500248670578003,-4.361494064325725,6.472004091662539,5.79363499360632,
14.0,2.0,0.9819026589393616,-3.1602492332419874,6.472004091662539,5.79363499360632,
14.0,3.0,1.023566722869873,-1.2079286575302621,6.472004091662539,5.79363499360632,
14.0,4.0,0.9356580376625061,-2.3209245204897173,6.472004091662539,5.79363499360632,
14.0,5.0,0.9042606949806213,-1.9428744316077329,6.472004091662539,5.79363499360632,
14.0,6.0,1.1164530515670776,-2.479900360104391,6.472004091662539,5.79363499360632,
14.0,7.0,1.4948978424072266,-3.591097354884527,6.472004091662539,5.79363499360632,
14.0,8.0,1.0054792165756226,-1.199357032778674,6.472004091662539,5.79363499360632,
14.0,9.0,1.2291220426559448,-10.7583047867072,6.472004091662539,5.79363499360632,
14.0,10.0,0.8454301953315735,-10.509449607087584,6.472004091662539,5.79363499360632,
14.0,11.0,0.7950620651245117,-10.34033882613013,6.472004091662539,5.79363499360632,
15.0,0.0,1.1096558570861816,-0.37405490875264874,6.472004091662539,5.79363499360632,
15.0,1.0,1.1048223972320557,-0.2519259452821216,6.472004091662539,5.79363499360632,
15.0,2.0,1.0127085447311401,-1.886464977262099,6.472004091662539,5.79363499360632,
15.0,3.0,1.040554404258728,-2.3780722618073966,6.472004091662539,5.79363499360632,
15.0,4.0,1.0168499946594238,-0.0028290748596156833,6.472004091662539,5.79363499360632,
15.0,5.0,0.9270604252815247,-3.724293708796718,6.472004091662539,5.79363499360632,
15.0,6.0,0.8973174691200256,-0.0006504058837882677,6.472004091662539,5.79363499360632,
15.0,7.0,1.1041516065597534,-1.990249156949472,6.472004091662539,5.79363499360632,
15.0,8.0,1.471740961074829,-1.592698693273505,6.472004091662539,5.79363499360632,
15.0,9.0,0.8104917407035828,-10.758024591232573,6.472004091662539,5.79363499360632,
15.0,10.0,0.8477543592453003,-11.229219436671675,6.472004091662539,5.79363499360632,
15.0,11.0,0.8815210461616516,-11.23934922219334,6.472004091662539,5.79363499360632,
16.0,0.0,1.1403052806854248,-2.8622669219986565,6.472004091662539,5.79363499360632,
16.0,1.0,1.093185305595398,-1.7981736183176469,6.472004091662539,5.79363499360632,
16.0,2.0,1.1215438842773438,-1.3391575098044364,6.472004091662539,5.79363499360632,
16.0,3.0,1.0515486001968384,-2.2130413293811455,6.472004091662539,5.79363499360632,
16.0,4.0,0.9877865314483643,-3.6606258988335694,6.472004091662539,5.79363499360632,
16.0,5.0,0.9962202310562134,-0.2783036231991228,6.472004091662539,5.79363499360632,
16.0,6.0,1.2955156564712524,-1.5735905170421443,6.472004091662539,5.79363499360632,
16.0,7.0,1.3864046335220337,-0.13651609420759683,6.472004091662539,5.79363499360632,
16.0,8.0,1.0049514770507812,-1.3147091865523484,6.472004091662539,5.79363499360632,
16.0,9.0,1.3003346920013428,-1.1647439002976487,6.472004091662539,5.79363499360632,
16.0,10.0,0.75870281457901,-9.509991049721133,6.472004091662539,5.79363499360632,
16.0,11.0,0.7677918076515198,-10.466031694436623,6.472004091662539,5.79363499360632,
17.0,0.0,1.2537964582443237,-3.2831811428088264,6.472004091662539,5.79363499360632,
17.0,1.0,1.1739798784255981,-2.878608369828866,6.472004091662539,5.79363499360632,
17.0,2.0,1.1441893577575684,-1.298921227455859,6.472004091662539,5.79363499360632,
17.0,3.0,1.113533616065979,-1.1413306236272722,6.472004091662539,5.79363499360632,
17.0,4.0,1.188362717628479,-2.510216236111434,6.472004091662539,5.79363499360632,
17.0,5.0,0.9909182786941528,-3.294117712970522,6.472004091662539,5.79363499360632,
17.0,6.0,1.0012038946151733,-1.9354131221747588,6.472004091662539,5.79363499360632,
17.0,7.0,1.2364712953567505,-1.5514755249004477,6.472004091662539,5.79363499360632,
17.0,8.0,1.3193873167037964,-1.0510493516909152,6.472004091662539,5.79363499360632,
17.0,9.0,0.8779419660568237,-0.25903701782194904,6.472004091662539,5.79363499360632,
17.0,10.0,0.7579821944236755,-9.756896755115637,6.472004091662539,5.79363499360632,
17.0,11.0,0.8360837697982788,-9.715637528849943,6.472004091662539,5.79363499360632,
18.0,0.0,1.2256118059158325,-1.1491918563849142,6.472004091662539,5.79363499360632,
18.0,1.0,1.2528475522994995,-3.772513937952225,6.472004091662539,5.79363499360632,
18.0,2.0,1.1277742385864258,-2.944706332685195,6.472004091662539,5.79363499360632,
18.0,3.0,1.133014440536499,-3.648601961137886,6.472004091662539,5.79363499360632,
18.0,4.0,1.1803646087646484,-2.613647007939076,6.472004091662539,5.79363499360632,
18.0,5.0,1.169751524925232,-1.8734417200065605,6.472004091662539,5.79363499360632,
18.0,6.0,1.1356463432312012,-3.1283139705619725,6.472004091662539,5.79363499360632,
18.0,7.0,0.9913837313652039,-1.9002496480918547,6.472004091662539,5.79363499360632,
18.0,8.0,1.183022141456604,-0.8104205131520857,6.472004091662539,5.79363499360632,
18.0,9.0,1.2134709358215332,-3.4580903053241427,6.472004091662539,5.79363499360632,
18.0,10.0,0.8055960536003113,-9.724879741622265,6.472004091662539,5.79363499360632,
18.0,11.0,0.7218173146247864,-10.6975213647138,6.472004091662539,5.79363499360632,Pareto
