BAYESIAN RESULTS
Input 1 (Ego Speed),Input 2 (Target Speed),Output 1 (TTC),Output 2(Jerk),HyperVolum,Generational Distance,Is_Pareto
22.6,9.3,0.868718147277832,-9.768132686603051,7.55344867699794,5.58828453779799,
24.3,0.5,1.5155136585235596,-1.1237610340124635,7.55344867699794,5.58828453779799,
14.3,2.9,1.0926395654678345,-3.4046560287433976,7.55344867699794,5.58828453779799,
15.8,10.6,0.8456073999404907,-9.872844912110427,7.55344867699794,5.58828453779799,
22.1,2.3,1.3138480186462402,-3.5884376525898793,7.55344867699794,5.58828453779799,
19.5,8.8,1.0223690271377563,-6.744827367357117,7.55344867699794,5.58828453779799,
15.3,5.3,0.928659200668335,-1.0545077323900687,7.55344867699794,5.58828453779799,
16.7,3.4,1.0907049179077148,-1.4662904739361964,7.55344867699794,5.58828453779799,
21.5,1.7,1.3918699026107788,-0.9211427211766579,7.55344867699794,5.58828453779799,
20.2,1.0,1.3460813760757446,-2.403451657296559,7.55344867699794,5.58828453779799,
17.9,5.6,1.0925261974334717,-3.2196310996969926,7.55344867699794,5.58828453779799,
21.1,4.6,1.3360052108764648,-3.6737027406712865,7.55344867699794,5.58828453779799,
16.9,10.0,1.3360052108764648,-3.6737027406712865,7.55344867699794,5.58828453779799,
19.8,9.7,0.8324508666992188,-9.444790774549649,7.55344867699794,5.58828453779799,
17.7,6.3,1.079161286354065,-4.642225873464633,7.55344867699794,5.58828453779799,
23.7,6.8,1.3285082578659058,-8.519934105866742,7.55344867699794,5.58828453779799,
24.9,1.5,1.436084270477295,-5.026174044611855,7.55344867699794,5.58828453779799,
18.8,7.2,1.0387036800384521,-2.6467078685728147,7.55344867699794,5.58828453779799,
23.3,4.2,1.3564209938049316,-11.672149658191582,7.55344867699794,5.58828453779799,
14.8,8.2,0.9083552360534668,-1.5540790557842445,7.55344867699794,5.58828453779799,
23.9,4.6,1.361464262008667,-12.05036294459142,7.55344867699794,5.58828453779799,
24.1,4.0,1.392574667930603,-11.357286849607096,7.55344867699794,5.58828453779799,
21.2,10.4,0.8560335040092468,-11.357357621219402,7.55344867699794,5.58828453779799,
14.8,11.0,0.8203703761100769,-11.827304315510542,7.55344867699794,5.58828453779799,
22.4,11.0,0.7057614922523499,-8.913073158221602,7.55344867699794,5.58828453779799,Pareto
15.2,11.0,0.8061120510101318,-11.974479854049726,7.55344867699794,5.58828453779799,
20.4,11.0,0.7845959663391113,-9.944378542919958,7.55344867699794,5.58828453779799,
25.0,5.1,1.4145678281784058,-12.362151288993037,7.55344867699794,5.58828453779799,
25.0,4.5,1.3486167192459106,-7.887153115116784,7.55344867699794,5.58828453779799,
24.9,5.6,1.4306777715682983,-13.956572055824367,7.55344867699794,5.58828453779799,
25.0,6.1,1.3650619983673096,-9.719743251792021,7.55344867699794,5.58828453779799,
24.6,5.4,1.4173702001571655,-13.37939682007577,7.55344867699794,5.58828453779799,
24.9,5.5,1.4017208814620972,-13.4024850845411,7.55344867699794,5.58828453779799,
24.7,5.7,1.4194766283035278,-9.614459395413956,7.55344867699794,5.58828453779799,
24.5,5.1,1.396510362625122,-11.893436717993632,7.55344867699794,5.58828453779799,
25.0,5.6,1.406636118888855,-14.13548898697681,7.55344867699794,5.58828453779799,Pareto
15.0,10.5,0.862497866153717,-9.022587466196846,7.55344867699794,5.58828453779799,
20.6,10.2,0.8205230236053467,-10.625384783716049,7.55344867699794,5.58828453779799,
21.6,9.8,0.8132319450378418,-10.597682738261469,7.55344867699794,5.58828453779799,
23.4,5.0,1.3158828020095825,-12.351991438850561,7.55344867699794,5.58828453779799,
